,N2EX,EUA(Ascending)
42192,59.36,7.44
42193,59.65,7.43
42194,61.9,7.46
42195,60.73,7.59
42196,59.35,7.65
42197,58.66,7.71
42198,61.54,7.77
42199,66.55,7.71
42200,61.25,7.74
42201,62.34,7.64
42202,58.37,7.72
42203,58.21,7.8
42204,60.64,7.88
42205,61.92,7.96
42206,59.65,7.94
42207,61.85,7.94
42208,60.46,8.05
42209,61.04,7.98
42210,53.1,7.986666667
42211,50.95,7.993333333
42212,58.02,8
42213,58.51,8
42214,58.89,8.04
42215,60.05,7.86
42216,60.37,7.85
42217,59.14,7.876666667
42218,58.75,7.903333333
42219,57.38,7.93
42220,56.22,7.88
42221,60.04,7.81
42222,61.24,7.82
42223,63.21,7.76
42224,57.42,7.806666667
42225,57.19,7.853333333
42226,59.82,7.9
42227,59.41,8.07
42228,60.11,8.17
42229,58.78,8.17
42230,59.02,8.3
42231,55.59,8.273333333
42232,57.83,8.246666667
42233,59.32,8.22
42234,56.68,8.25
42235,57.07,8.32
42236,57.08,8.34
42237,55.53,8.18
42238,54.79,8.17
42239,53.4,8.16
42240,57.86,8.15
42241,53.69,8.23
42242,51.59,8.08
42243,52.73,8.03
42244,54.2,8.09
42245,52.46,8.076666667
42246,53.91,8.063333333
42247,54.21,8.05
42248,55.64,7.99
42249,56.52,8.1
42250,53.24,8.15
42251,56.4,8.07
42252,55.29,8.066666667
42253,54.29,8.063333333
42254,59.32,8.06
42255,57.66,8.22
42256,57.47,8.25
42257,57.18,8.26
42258,55.12,8.24
42259,49.28,8.23
42260,54.95,8.22
42261,61.25,8.21
42262,59.67,8.15
42263,61.43,8.21
42264,58.44,8.21
42265,56.84,8.09
42266,55.06,8.046666667
42267,56.05,8.003333333
42268,58.63,7.96
42269,57.77,8
42270,58.92,8.05
42271,56.28,7.99
42272,59.57,7.98
42273,56.33,7.953333333
42274,55.68,7.926666667
42275,58.23,7.9
42276,55.94,7.96
42277,55.2,8.13
42278,55,8.15
42279,54.91,8.13
42280,54,8.15
42281,52.55,8.17
42282,52.67,8.19
42283,54.86,8.2
42284,54.56,8.09
42285,56.93,8.11
42286,55.94,8.33
42287,53.72,8.313333333
42288,51.62,8.296666667
42289,55.82,8.28
42290,53.55,8.32
42291,53.5,8.42
42292,54.29,8.41
42293,54.07,8.38
42294,55.04,8.366666667
42295,55.92,8.353333333
42296,58.88,8.34
42297,57.78,8.46
42298,54.6,8.44
42299,53.79,8.47
42300,56.4,8.62
42301,53.45,8.63
42302,58.1,8.64
42303,56.82,8.65
42304,55.73,8.6
42305,56.08,8.56
42306,54.22,8.67
42307,52.68,8.63
42308,53.55,8.616666667
42309,53.97,8.603333333
42310,56.79,8.59
42311,55.27,8.44
42312,65.81,8.39
42313,53.22,8.46
42314,53.99,8.4
42315,51.57,8.37
42316,48.82,8.34
42317,48.88,8.31
42318,49.81,8.44
42319,51.97,8.44
42320,52.75,8.37
42321,48.02,8.39
42322,49.8,8.436666667
42323,49.07,8.483333333
42324,50.24,8.53
42325,52.41,8.61
42326,50.42,8.58
42327,52.13,8.63
42328,54.62,8.51
42329,51.98,8.526666667
42330,54.19,8.543333333
42331,66.06,8.56
42332,57.04,8.65
42333,54.1,8.62
42334,56.95,8.58
42335,52.89,8.58
42336,51.73,8.58
42337,48.67,8.58
42338,54.66,8.58
42339,55.52,8.56
42340,56.23,8.48
42341,56.3,8.59
42342,50.94,8.52
42343,48.07,8.483333333
42344,48.25,8.446666667
42345,54.27,8.41
42346,50.27,8.41
42347,52.28,8.4
42348,50.86,8.36
42349,51.02,8.07
42350,52.59,8.07
42351,52.12,8.07
42352,54.15,8.07
42353,51.28,8.19
42354,49.05,8.13
42355,50.07,8.07
42356,46.56,8.06
42357,44.99,8.103333333
42358,42.78,8.146666667
42359,45.15,8.19
42360,42.65,8.25
42361,43.43,8.22
42362,39.52,8.19
42363,38.74,8.22
42364,38.04,8.25
42365,43.62,8.28
42366,45.05,8.31
42367,46.6,8.27
42368,41.62,8.21
42369,49.04,8.22
42370,44.33,8.175
42371,44.9,8.13
42372,48.29,8.085
42373,51.04,8.04
42374,49.76,7.99
42375,49.28,7.74
42376,50.69,7.54
42377,51.77,7.41
42378,51.13,7.313333333
42379,47.66,7.216666667
42380,51.9,7.12
42381,48.73,7.1
42382,49.22,7.24
42383,47.86,7.08
42384,46.19,6.67
42385,46.34,6.683333333
42386,45.81,6.696666667
42387,58.08,6.71
42388,67.8,6.81
42389,59.09,6.31
42390,50.92,6.17
42391,44.02,6.32
42392,44.9,6.17
42393,46.51,6.02
42394,43.92,5.87
42395,41.63,6.07
42396,42.37,5.9
42397,42.26,6.06
42398,39.65,6.04
42399,42.7,5.92
42400,46.33,5.8
42401,43.21,5.68
42402,40.89,5.81
42403,44.5,5.61
42404,43.46,5.6
42405,41.63,5.54
42406,40.27,5.436666667
42407,38.37,5.333333333
42408,40.93,5.23
42409,41.38,4.95
42410,41.58,4.87
42411,45.67,4.73
42412,42.16,5.05
42413,43.5,4.963333333
42414,41.23,4.876666667
42415,44.73,4.79
42416,41.22,4.67
42417,43.87,5.07
42418,43.08,5.24
42419,42.45,5.15
42420,41.91,5.233333333
42421,40.72,5.316666667
42422,44.37,5.4
42423,44.14,4.89
42424,46.04,4.85
42425,55.56,5.06
42426,43.46,4.98
42427,42.25,4.983333333
42428,43.47,4.986666667
42429,42.07,4.99
42430,42.55,4.99
42431,42.61,4.95
42432,46.35,4.88
42433,43.51,4.92
42434,42.15,4.976666667
42435,44.05,5.033333333
42436,50.41,5.09
42437,45.84,5.01
42438,44.24,5.07
42439,49.97,4.9
42440,47.04,4.98
42441,42.69,4.936666667
42442,41.95,4.893333333
42443,43.97,4.85
42444,42.18,4.85
42445,41.57,4.95
42446,44.27,4.99
42447,43.15,4.93
42448,43.01,4.906666667
42449,42.43,4.883333333
42450,47.69,4.86
42451,48.04,4.81
42452,44.66,4.79
42453,42.17,4.84
42454,42.86,4.84
42455,39.36,4.84
42456,36.01,4.84
42457,42.59,4.84
42458,44.65,4.77
42459,42.81,4.95
42460,43.95,5.2
42461,40.45,5.16
42462,40.2,5.213333333
42463,38.1,5.266666667
42464,43.96,5.32
42465,40.17,5.23
42466,37.68,5.3
42467,39.17,5.27
42468,40.23,5.41
42469,39.34,5.463333333
42470,36.54,5.516666667
42471,34.71,5.57
42472,43.88,5.58
42473,43.82,5.53
42474,44.89,5.6
42475,43.49,5.47
42476,40.26,5.466666667
42477,40.83,5.463333333
42478,41.07,5.46
42479,46.48,5.56
42480,44.05,5.54
42481,42.52,5.74
42482,44.37,5.96
42483,42.99,5.936666667
42484,43.48,5.913333333
42485,43.71,5.89
42486,42.99,6.61
42487,48.11,6.83
42488,49.27,6.33
42489,45.83,6.17
42490,43.89,6.146666667
42491,42.49,6.123333333
42492,40.93,6.1
42493,43.46,5.98
42494,41.77,6.12
42495,41.16,6.19
42496,44.92,5.85
42497,41.48,5.796666667
42498,41.39,5.743333333
42499,43.67,5.69
42500,48.15,5.89
42501,55.7,6.01
42502,44.37,5.8
42503,45.94,5.84
42504,42.67,5.926666667
42505,43.51,6.013333333
42506,57.83,6.1
42507,45.43,6.04
42508,45.41,6.05
42509,45.7,5.98
42510,41.43,5.95
42511,39.54,5.873333333
42512,42.73,5.796666667
42513,43.97,5.72
42514,41.75,5.78
42515,44.69,5.85
42516,43.14,6.01
42517,43.22,6.02
42518,44.25,6.046666667
42519,42.35,6.073333333
42520,42.1,6.1
42521,42.61,6.08
42522,45.38,5.95
42523,45.53,6.01
42524,47.97,5.93
42525,44.31,6.016666667
42526,42.8,6.103333333
42527,49.93,6.19
42528,48.96,6.1
42529,48.92,6.09
42530,50.33,6.1
42531,52.37,5.94
42532,45.69,5.906666667
42533,44.13,5.873333333
42534,48.14,5.84
42535,46.72,5.84
42536,46.5,5.89
42537,49.35,5.7
42538,45.92,5.66
42539,47.44,5.72
42540,44.5,5.78
42541,43.94,5.84
42542,47.76,5.54
42543,51.21,5.67
42544,53.81,5.63
42545,48.57,4.95
42546,45.22,4.886666667
42547,43.98,4.823333333
42548,47.91,4.76
42549,49.28,4.68
42550,45.95,4.51
42551,44.9,4.46
42552,43.58,4.61
42553,40.12,4.726666667
42554,40.71,4.843333333
42555,51.1,4.96
42556,43.13,4.7
42557,45.29,4.58
42558,42.35,4.57
42559,42.7,4.53
42560,43.11,4.493333333
42561,40.83,4.456666667
42562,38.79,4.42
42563,46.39,4.62
42564,44.1,4.78
42565,44.67,4.77
42566,45.36,4.92
42567,43.84,4.893333333
42568,43.51,4.866666667
42569,47.49,4.84
42570,44.95,4.66
42571,45.07,4.68
42572,47.41,4.64
42573,47.2,4.55
42574,46.08,4.56
42575,46.1,4.57
42576,46.71,4.58
42577,48.08,4.5
42578,46.13,4.52
42579,47.55,4.47
42580,45.31,4.41
42581,43.4,4.396666667
42582,42.24,4.383333333
42583,54.53,4.37
42584,47.33,4.4
42585,42.6,4.62
42586,43.45,4.68
